Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
FYAQNX,1167.25,2017/08/04,17:00 EDT,-8.33,,,,,,,,,,,
WTSGX,12.64,2017/08/04,17:05 EDT,0.09,,,,,,,,,,,
PSEAX,12.64,2017/06/29,20:01 EDT,0.09,,,,,,,,,,,
FINABX,14.176,2017/08/04,17:14 EDT,0.101,,,,,,,,,,,
MMQFX,16.84,2017/08/04,17:17 EDT,0.12,,,,,,,,,,,
FATYSX,7.8566,2015/04/15,20:01 EDT,0.0561,,,,,,,,,,,
TEEMX,5.6,2017/08/04,17:47 EDT,0.04,,,,,,,,,,,
FCSGX,16.8,2017/08/04,17:36 EDT,0.12,,,,,,,,,,,
CURZX,4.2,2017/08/04,17:16 EDT,0.03,,,,,,,,,,,
SMGPMX,9.8204,2017/08/04,16:54 EDT,0.0702,,,,,,,,,,,
FBLUDX,9.1011,2017/02/03,20:01 EST,0.0651,,,,,,,,,,,
GIFFX,27.96,2017/08/04,17:36 EDT,0.2,,,,,,,,,,,
FGLTMX,9.2678,2015/03/16,20:01 EDT,0.0663,,,,,,,,,,,
FKHYRX,9.4038,2014/12/17,20:01 EST,0.0673,,,,,,,,,,,
INWMKX,9.0423,2016/04/08,20:01 EDT,0.0648,,,,,,,,,,,
ROFRX,12.55,2017/08/04,17:08 EDT,0.09,,,,,,,,,,,
FOVNCX,11.3441,2014/10/03,20:01 EDT,0.0814,,,,,,,,,,,
CIPOX,12.53,2017/08/04,17:16 EDT,0.09,,,,,,,,,,,
FNYBX,13.92,2016/06/24,20:00 EDT,0.1,,,,,,,,,,,
AGRBGX,12.351,2017/08/04,17:14 EDT,0.0888,,,,,,,,,,,
FSEHCX,10.7329,2016/11/08,18:45 EST,0.07730007,,,,,,,,,,,
RYPNX,13.88,2017/08/04,17:08 EDT,0.1,,,,,,,,,,,
IVGIX,26.35,2017/08/04,17:38 EDT,0.19,,,,,,,,,,,
HSSAX,42.95,2017/08/04,17:14 EDT,0.31,,,,,,,,,,,
DVLSX,13.84,2017/08/03,20:00 EDT,0.1,,,,,,,,,,,
CURAX,4.15,2017/08/04,17:16 EDT,0.03,,,,,,,,,,,
ACGJX,27.66,2017/08/04,17:35 EDT,0.2,,,,,,,,,,,
FLWASX,12.6788,2017/02/10,20:01 EST,0.0917,,,,,,,,,,,
WILSX,12.44,2017/08/04,17:18 EDT,0.09,,,,,,,,,,,
FAIBX,13.82,2016/06/27,05:59 EDT,0.1,,,,,,,,,,,
LAUBX,15.18,2016/04/27,10:43 EDT,0.11,,,,,,,,,,,
DTGCX,38.69,2017/08/04,16:57 EDT,0.28,,,,,,,,,,,
SMMHFX,8.687,2017/08/04,16:54 EDT,0.0629,,,,,,,,,,,
RYKCX,66.27,2017/08/04,16:49 EDT,0.48,,,,,,,,,,,
GEAUX,8.28,2017/08/03,20:00 EDT,0.06,,,,,,,,,,,
SPWYX,17.96,2017/08/04,17:49 EDT,0.03,,,,,,,,,,,
CLSIX,9.65,2017/08/03,20:00 EDT,0.07,,,,,,,,,,,
CFINIX,9.8674,2017/08/04,17:23 EDT,0.0716,0.0,0.0,0.0,0,,,,,,,
GLLVX,13.5081,2016/04/04,07:04 EDT,0.0981,,,,,,,,,,,
BACCX,9.62,2017/08/04,17:30 EDT,0.07,,,,,,,,,,,
BURJX,30.23,2016/06/30,20:00 EDT,0.22,,,,,,,,,,,
CABCPX,5.3834,2016/12/30,20:01 EST,0.0392,,,,,,,,,,,
BURHX,32.91,2016/06/30,20:00 EDT,0.24,,,,,,,,,,,
JIMSX,21.93,2017/08/04,17:17 EDT,0.16,,,,,,,,,,,
RYKAX,71.24,2017/08/04,16:49 EDT,0.52,,,,,,,,,,,
RGHVX,13.7,2016/06/06,06:40 EDT,0.1,,,,,,,,,,,
FWQPGX,8.1096,2015/04/13,20:01 EDT,0.0592,,,,,,,,,,,
USPSX,25.94,2017/08/04,17:42 EDT,-0.07,,,,,,,,,,,
CLSVX,9.58,2017/08/03,20:00 EDT,0.07,,,,,,,,,,,
SMCIGX,8.3751,2016/12/29,20:01 EST,0.0612,,,,,,,,,,,
CBMBX,30.07,2017/01/24,20:00 EST,0.22,,,,,,,,,,,
FJYGRX,1130.94,2017/08/04,17:00 EDT,-8.69,,,,,,,,,,,
MUSDX,16.39,2017/08/04,16:39 EDT,0.12,,,,,,,,,,,
DILAX,12.29,2017/08/04,17:27 EDT,0.09,,,,,,,,,,,
SFPIX,10.92,2017/08/04,17:31 EDT,0.08,,,,,,,,,,,
DTEYX,53.22,2017/08/04,16:57 EDT,0.39,,,,,,,,,,,
MSULX,16.37,2017/08/04,16:39 EDT,0.12,,,,,,,,,,,
PMPAX,10.91,2016/03/30,07:32 EDT,0.08,,,,,,,,,,,
GIRBX,12.27,2015/10/23,18:45 EDT,0.09000015,,,,,,,,,,,
DGVRX,53.16,2017/08/04,16:54 EDT,0.39,,,,,,,,,,,
AGRBIX,10.4629,2017/08/04,17:14 EDT,0.0768,,,,,,,,,,,
FGTYX,9.8624,2017/08/03,20:00 EDT,0.0724,,,,,,,,,,,
DILSX,12.24,2017/08/03,20:00 EDT,0.09,,,,,,,,,,,
SFSLX,23.11,2017/08/04,17:16 EDT,0.17,,,,,,,,,,,
SSEIX,13.59,2017/08/04,17:35 EDT,0.1,,,,,,,,,,,
MSURX,16.3,2017/08/04,16:39 EDT,0.12,,,,,,,,,,,
FVNQPX,7.7492,2015/12/04,20:01 EST,0.0571,,,,,,,,,,,
HDOAX,10.3362,2016/04/08,14:08 EDT,0.0762,,,,,,,,,,,
APHLX,14.92,2017/08/04,17:39 EDT,0.11,,,,,,,,,,,
SSEFX,13.55,2017/08/04,17:35 EDT,0.1,,,,,,,,,,,
RMBCX,16.25,2017/08/04,17:30 EDT,0.12,,,,,,,,,,,
RYKIX,79.89,2017/08/04,16:49 EDT,0.59,,,,,,,,,,,
APDLX,14.88,2017/08/04,17:39 EDT,0.11,,,,,,,,,,,
WFEBX,12.16,2017/05/05,20:01 EDT,0.09,,,,,,,,,,,
FCMBX,13.51,2016/06/27,07:19 EDT,0.1,,,,,,,,,,,
BGVEX,21.1768,2016/12/27,18:25 EST,0.1568,,,,,,,,,,,
GOODX,22.93,2017/08/04,17:16 EDT,0.17,,,,,,,,,,,
FSSRX,18.87,2017/08/04,17:37 EDT,0.14,,,,,,,,,,,
ANGLFX,10.2975,2015/07/10,20:01 EDT,0.0764,,,,,,,,,,,
