RESULT_COUNT: 3074,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
TICKER,FIGI_TICKER,FIGI,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME
ALQA,ALQA:US,BBG000BDFHY7,2017-02-27,0.46,0.5,0.46,0.4948,71325.0,0.0,1.0,0.46,0.5,0.46,0.4948,71325.0
ALRM,ALRM:UW,BBG0099LP113,2017-02-27,28.69,29.19,28.51,29.08,213329.0,0.0,1.0,28.69,29.19,28.51,29.08,213329.0
ALSK,ALSK:UW,BBG000DFX0M0,2017-02-27,1.64,1.7,1.64,1.69,43486.0,0.0,1.0,1.64,1.7,1.64,1.69,43486.0
ALT,ALT:US,BBG000FXML90,2017-02-27,0.931,0.96,0.93,0.9404,874878.0,0.0,1.0,0.931,0.96,0.93,0.9404,874878.0
ALTY,ALTY:US,BBG009L6H4R7,2017-02-27,15.61,15.65,15.47,15.63,12663.0,0.0,1.0,15.0582756330712,15.0968618614711,14.9232238336715,15.0775687472712,12663.0
ALXN,ALXN:UW,BBG000G32HL2,2017-02-27,131.2,132.53,130.66,132.2,1311511.0,0.0,1.0,131.2,132.53,130.66,132.2,1311511.0
AMAG,AMAG:UW,BBG000CHGJP2,2017-02-27,23.2,24.3,23.0,24.1,815930.0,0.0,1.0,23.2,24.3,23.0,24.1,815930.0
AMAT,AMAT:UW,BBG000BBPST2,2017-02-27,36.47,36.5,36.1,36.43,6491371.0,0.0,1.0,36.06,36.09,35.7,36.02,6433398.22
AMBA,AMBA:UW,BBG001QZCQ46,2017-02-27,59.65,60.19,58.4,59.78,1143073.0,0.0,1.0,59.65,60.19,58.4,59.78,1143073.0
AMBC,AMBC:UW,BBG004HQHL46,2017-02-27,22.0,22.09,21.62,22.02,463543.0,0.0,1.0,22.0,22.09,21.62,22.02,463543.0
AMBCW,AMBCW:UW,BBG004HQD956,2017-02-27,12.23,12.24,12.213,12.223,1400.0,0.0,1.0,12.23,12.24,12.213,12.223,1400.0
AMCN,AMCN:UW,BBG000BJ90H7,2017-02-27,2.56,2.56,2.51,2.515,25734.0,0.0,1.0,2.56,2.56,2.51,2.515,25734.0
AMCX,AMCX:UW,BBG001QVLM62,2017-02-27,61.22,61.48,60.43,60.72,624134.0,0.0,1.0,61.22,61.48,60.43,60.72,624134.0
AMD,AMD:US,BBG000BBQCY0,2017-02-27,14.27,15.35,14.27,15.2,95422869.0,0.0,1.0,14.27,15.35,14.27,15.2,95422869.0
AMDA,AMDA:US,BBG000QVHQW1,2017-02-27,0.391,0.415,0.39,0.41,650914.0,0.0,1.0,0.391,0.415,0.39,0.41,650914.0
AMED,AMED:UW,BBG000BB05W5,2017-02-27,48.01,49.3,47.095,48.91,315809.0,0.0,1.0,48.01,49.3,47.095,48.91,315809.0
